religiousTerror,longitude,latitude
religiousTerror,15.828342,45.183961
religiousTerror,17.639822,59.857979
religiousTerror,47.7,30.383333
religiousTerror,11.180555,10.297129
religiousTerror,44.213536,15.355873
religiousTerror,32.541517,0.422329
religiousTerror,45.250729,4.554988
religiousTerror,24.74529,42.135408
religiousTerror,3.04942,43.019169
religiousTerror,36.043056,32.888889
religiousTerror,67.023889,24.938611
religiousTerror,4.349437,51.912067
religiousTerror,0.203153,47.969057
religiousTerror,44.087712,35.135849
religiousTerror,44.321263,33.333034
religiousTerror,5.908998,45.692341
religiousTerror,2.211335,43.949268
religiousTerror,73.050429,33.596908
religiousTerror,70.963302,33.747722
religiousTerror,1.065343,47.792551
religiousTerror,3.32342,49.376636
religiousTerror,66.96089,24.921045
religiousTerror,39.660629,-4.048671
religiousTerror,0.340375,46.580224
religiousTerror,44.406814,33.249111
religiousTerror,64.369602,31.583055
religiousTerror,11.173856,10.286099
religiousTerror,44.143611,35.188333
religiousTerror,69.964306,33.367136
religiousTerror,79.739988,15.9129
religiousTerror,65.561944,31.503056
religiousTerror,43.650067,3.116611
religiousTerror,44.340211,33.243337
religiousTerror,151.933834,-27.581562
religiousTerror,30.46055,50.479274
religiousTerror,43.184153,36.331956
religiousTerror,68.637778,27.956944
religiousTerror,67.432593,36.083457
religiousTerror,44.583333,33.1
religiousTerror,67.197669,24.90256
religiousTerror,43.64991,3.116801
religiousTerror,67.32957,29.864503
religiousTerror,70.715476,34.251594
religiousTerror,35.343855,32.019231
religiousTerror,43.887778,4.12
religiousTerror,14.22506,12.377705
religiousTerror,44.276324,33.341861
religiousTerror,70.62809,34.317019
religiousTerror,66.267778,32.733333
religiousTerror,13.654167,10.81
religiousTerror,71.437996,33.993364
religiousTerror,36.310556,33.610278
religiousTerror,67.211701,24.858406
religiousTerror,12.568337,55.676109
religiousTerror,73.039052,33.632067
religiousTerror,-80.689149,28.122223
religiousTerror,73.101766,33.637476
religiousTerror,44.620942,34.880964
religiousTerror,12.847621,10.869205
religiousTerror,66.453037,30.919952
religiousTerror,13.196176,32.872208
religiousTerror,68.9375,33.796944
religiousTerror,50.514154,26.221465
religiousTerror,44.61205,34.879919
religiousTerror,35.076957,31.674467
religiousTerror,43.140484,36.340192
religiousTerror,36.691966,33.641451
religiousTerror,68.45,33.316667
religiousTerror,122.14467,6.656903
religiousTerror,67.104581,24.927539
religiousTerror,102.815892,17.364697
religiousTerror,12.742243,10.160556
religiousTerror,66.988376,24.883591
religiousTerror,31.74281,-1.475856
religiousTerror,69.164106,34.533143
religiousTerror,31.70387,-1.551364
religiousTerror,31.476542,-2.191728
religiousTerror,74.363412,31.410962
religiousTerror,74.363546,31.412935
religiousTerror,65.70454,31.612104
religiousTerror,45.203611,4.735833
religiousTerror,43.377327,36.269174
religiousTerror,43.377327,36.269174
religiousTerror,43.763889,16.94
religiousTerror,44.213536,15.355873
religiousTerror,44.213536,15.355873
religiousTerror,44.213536,15.355873
religiousTerror,44.213536,15.355873
religiousTerror,67.01445,24.856305
religiousTerror,69.918227,33.337275
religiousTerror,41.86,36.32
religiousTerror,16.588936,31.205314
religiousTerror,7.417553,11.280235
religiousTerror,71.992739,33.987664
religiousTerror,30.730906,27.859921
religiousTerror,45.035055,12.812316
religiousTerror,7.864858,11.512042
religiousTerror,70.838754,29.239351
religiousTerror,36.635177,35.93178
religiousTerror,88.35556,22.632176
religiousTerror,43.01949,15.305307
religiousTerror,43.01949,15.305307
religiousTerror,62.032097,32.501463
religiousTerror,29.764839,31.105773
religiousTerror,40.3675,36.640833
religiousTerror,12.193967,10.612186
religiousTerror,64.878258,36.24499
religiousTerror,31.503584,30.576868
religiousTerror,7.367783,51.444674
religiousTerror,31.503943,30.577668
religiousTerror,16.583835,31.205055
religiousTerror,151.947275,-27.564238
religiousTerror,25.406733,41.122815
religiousTerror,80.267449,13.037169
religiousTerror,80.222871,13.039386
religiousTerror,80.270659,13.082654
religiousTerror,30.524225,50.447765
religiousTerror,24.557451,13.23196
religiousTerror,23.03266,13.108602
religiousTerror,23.03266,13.108602
religiousTerror,68.866277,36.72835
religiousTerror,43.13,36.34
religiousTerror,79.695735,11.392712
religiousTerror,49.127194,14.533282
religiousTerror,70.992083,33.459
religiousTerror,44.654444,33.856667
religiousTerror,44.799064,33.694104
religiousTerror,64.369167,31.583056
religiousTerror,71.689444,34.692778
religiousTerror,30.961645,29.477986
religiousTerror,40.916558,-1.204233
religiousTerror,40.514847,-1.595197
religiousTerror,35.241725,31.831116
religiousTerror,35.241725,31.831116
religiousTerror,67.188931,24.875196
religiousTerror,37.238529,34.230531
religiousTerror,32.6447,0.335453
religiousTerror,49.985409,26.569727
religiousTerror,44.207015,15.367176
religiousTerror,69.920405,33.337467
religiousTerror,31.330108,30.05661
religiousTerror,50.067543,26.444694
religiousTerror,121.000976,6.052645
religiousTerror,73.079107,31.418714
religiousTerror,44.213536,15.355873
religiousTerror,13.159667,11.830475
religiousTerror,34.022213,31.152665
religiousTerror,73.014559,33.686054
religiousTerror,44.517222,35.746944
religiousTerror,62.121273,32.370956
religiousTerror,32.65727,25.718835
religiousTerror,44.228944,17.565604
religiousTerror,42.56892,16.892213
religiousTerror,37.130216,36.218307
religiousTerror,137.117461,-4.091421
religiousTerror,83.1649,19.913736
religiousTerror,44.207863,15.356734
religiousTerror,44.207692,15.35433
religiousTerror,44.207692,15.35433
religiousTerror,-79.933101,32.787474
religiousTerror,35.549059,32.873173
religiousTerror,44.201349,15.35004
religiousTerror,-83.946033,35.967509
religiousTerror,36.315266,33.608823
religiousTerror,62.301835,31.314139
religiousTerror,-83.664394,32.823281
religiousTerror,-80.790063,35.213923
religiousTerror,47.980266,29.374481
religiousTerror,-81.818259,33.505056
religiousTerror,71.501803,34.560709
religiousTerror,30.91398,29.938126
religiousTerror,73.014559,33.686054
religiousTerror,68.879696,36.510349
religiousTerror,32.666738,0.35813
religiousTerror,77.938764,29.262958
religiousTerror,43.13,36.34
religiousTerror,44.213536,15.355873
religiousTerror,13.421389,11.653889
religiousTerror,36.608044,35.813023
religiousTerror,20.226379,30.754605
religiousTerror,36.314444,35.922222
religiousTerror,11.082491,11.707236
religiousTerror,8.883333,9.933333
religiousTerror,13.130556,10.737778
religiousTerror,13.130556,10.737778
religiousTerror,8.516667,12
religiousTerror,43.13,36.34
religiousTerror,44.252818,15.299531
religiousTerror,63.789444,35.725556
religiousTerror,9.0833,9.5667
religiousTerror,67.265877,35.961372
religiousTerror,64.905955,36.079561
religiousTerror,-95.327984,29.779987
religiousTerror,70.121765,33.638947
religiousTerror,125.355626,6.744295
religiousTerror,11.966177,11.747224
religiousTerror,11.966177,11.747224
religiousTerror,66.771944,36.308889
religiousTerror,70.893038,31.832593
religiousTerror,138.479002,-3.684015
religiousTerror,30.908958,3.027392
religiousTerror,110.366463,-7.8348
religiousTerror,109.897585,-7.784329
religiousTerror,29.918739,31.200092
religiousTerror,11.165831,10.28397
religiousTerror,67.056885,24.894681
religiousTerror,63.469844,25.264475
religiousTerror,44.225389,15.35065
religiousTerror,44.983035,12.787846
religiousTerror,68.918177,35.760462
religiousTerror,68.9166,35.761476
religiousTerror,68.917218,35.761548
religiousTerror,68.917218,35.761548
religiousTerror,68.917218,35.761548
religiousTerror,29.444352,-0.995997
religiousTerror,-106.754459,32.294582
religiousTerror,-106.790007,32.319945
religiousTerror,68.917218,35.761548
religiousTerror,68.917218,35.761548
religiousTerror,8.89328,9.537847
religiousTerror,74.926396,31.640645
religiousTerror,69.287754,35.804295
religiousTerror,69.287754,35.804295
religiousTerror,69.287754,35.804295
religiousTerror,69.287754,35.804295
religiousTerror,69.287754,35.804295
religiousTerror,70.307425,34.416679
religiousTerror,42.50811,18.221272
religiousTerror,44.883283,13.057842
religiousTerror,37.79328,55.716922
religiousTerror,78.092246,27.890074
religiousTerror,70.211275,34.668773
religiousTerror,16.586637,31.203255
religiousTerror,120.617974,18.33244
religiousTerror,74.83593,33.718375
religiousTerror,-5.584703,15.2635
religiousTerror,16.586637,31.203255
religiousTerror,16.586637,31.203255
religiousTerror,-106.773223,32.292512
religiousTerror,12.568337,55.676097
religiousTerror,70.765621,33.855666
religiousTerror,100.54056,13.74444
religiousTerror,82.150396,26.770406
religiousTerror,44.380392,35.465576
religiousTerror,-73.930696,40.746559
religiousTerror,44.667217,44.521187
religiousTerror,37.238351,34.230702
religiousTerror,36.830224,-1.174588
religiousTerror,38.27411,34.548369
religiousTerror,36.289192,33.509875
religiousTerror,68.932282,33.797107
religiousTerror,70.791877,32.104839
religiousTerror,0.587621,43.642997
religiousTerror,70.407486,34.328977
religiousTerror,13.153468,11.829601
religiousTerror,44.315376,33.246555
religiousTerror,13.545297,11.020053
religiousTerror,38.27449,34.547433
religiousTerror,8.660059,35.080915
religiousTerror,44.197184,15.371778
religiousTerror,44.197184,15.371778
religiousTerror,43.948056,14.473611
religiousTerror,36.564365,32.707311
religiousTerror,91.82505,22.330688
religiousTerror,101.553226,6.650615
religiousTerror,71.418038,34.858049
religiousTerror,89.248138,24.021679
religiousTerror,40.2391,37.912504
religiousTerror,8.107162,6.331163
religiousTerror,47.187222,42.855556
religiousTerror,67.147924,24.881773
religiousTerror,8.532379,52.029643
religiousTerror,70.636662,37.650727
religiousTerror,44.352032,33.054977
religiousTerror,-0.303742,51.461311
religiousTerror,-95.323685,32.137933
religiousTerror,87.722301,26.560959
religiousTerror,87.667963,26.671816
religiousTerror,87.890391,26.640033
religiousTerror,87.904158,26.651904
religiousTerror,45.032651,12.775331
religiousTerror,101.732106,6.254823
religiousTerror,101.723701,6.295698
religiousTerror,67.027832,24.902932
religiousTerror,13.151388,11.831976
religiousTerror,69.018998,34.00038
religiousTerror,31.806125,-1.332759
religiousTerror,31.806125,-1.332759
religiousTerror,31.806125,-1.332759
religiousTerror,44.191007,15.369445
religiousTerror,44.185074,15.367245
religiousTerror,63.860113,33.141556
religiousTerror,-0.198295,51.396507
religiousTerror,13.08017,11.825293
religiousTerror,13.158618,11.834654
religiousTerror,89.216744,24.01574
religiousTerror,11.966192,11.746996
religiousTerror,12.781725,12.49693
religiousTerror,12.781725,12.49693
religiousTerror,70.78821,34.263149
religiousTerror,69.172322,34.513446
religiousTerror,45.904291,43.143468
religiousTerror,67.570921,28.415809
religiousTerror,82.144164,26.773248
religiousTerror,95.362715,5.397895
religiousTerror,97.87216,2.358946
religiousTerror,97.863914,2.351637
religiousTerror,13.236847,11.796639
religiousTerror,16.589121,31.205159
religiousTerror,48.423584,32.383078
religiousTerror,50.041721,26.474992
religiousTerror,35.260968,32.225036
religiousTerror,69.649314,34.856826
religiousTerror,20.216869,30.749794
religiousTerror,50.477737,26.13883
religiousTerror,50.469706,26.123898
religiousTerror,98.136447,22.021647
religiousTerror,6.274773,4.921162
religiousTerror,67.883333,28.95
religiousTerror,13.187581,11.838021
religiousTerror,12.49539,9.203496
religiousTerror,70.37773,32.214296
religiousTerror,46.669675,24.572153
religiousTerror,5.36978,43.296482
religiousTerror,37.151676,36.211388
religiousTerror,44.228944,17.565604
religiousTerror,20.216869,30.749794
religiousTerror,73.08473,33.632415
religiousTerror,79.996893,14.460437
religiousTerror,93.333382,25.219197
religiousTerror,20.216403,30.749268
religiousTerror,25.04125,48.53049
religiousTerror,36.420664,34.1791
religiousTerror,20.216403,30.749268
religiousTerror,68.417347,33.551603
religiousTerror,70.919013,29.388155
religiousTerror,89.254366,25.750411
religiousTerror,67.040502,24.935421
religiousTerror,67.066566,24.920743
religiousTerror,89.424162,25.772337
religiousTerror,-3.491634,53.319141
religiousTerror,124.774079,6.335757
religiousTerror,31.183589,30.002836
religiousTerror,88.898267,25.782954
religiousTerror,35.028163,31.438812
religiousTerror,44.460652,33.389934
religiousTerror,43.903221,15.511819
religiousTerror,-78.319747,44.309058
religiousTerror,-72.840257,41.519714
religiousTerror,46.091738,43.199829
religiousTerror,-4.20354,55.897911
religiousTerror,88.710896,25.751844
religiousTerror,34.781768,32.0853
religiousTerror,6.993235,4.789935
religiousTerror,-77.146621,38.861472
religiousTerror,44.342575,33.230986
religiousTerror,149.100151,-33.283013
religiousTerror,27.201866,51.287518
religiousTerror,139.74397,35.694095
religiousTerror,25.144213,35.338735
religiousTerror,149.100151,-33.283013
religiousTerror,89.080548,24.94242
religiousTerror,2.97071,42.60036
religiousTerror,-0.105642,51.563528
religiousTerror,32.586036,0.302583
religiousTerror,44.299996,33.27264
religiousTerror,88.77704,25.650338
religiousTerror,46.589335,43.256201
religiousTerror,43.905515,34.166004
religiousTerror,88.66665,25.790366
religiousTerror,68.666267,27.901986
religiousTerror,40.210983,37.924973
religiousTerror,45.001731,12.790095
religiousTerror,44.535351,33.367068
religiousTerror,88.710896,25.751844
religiousTerror,65.871327,32.62414
religiousTerror,38.737257,9.030153
religiousTerror,-116.187442,33.69288
religiousTerror,14.012956,11.162254
religiousTerror,22.944586,12.84353
religiousTerror,91.799769,22.366331
religiousTerror,91.799769,22.366331
religiousTerror,74.294306,31.462532
religiousTerror,37.325277,-0.573522
religiousTerror,13.191338,32.887209
religiousTerror,35.228202,31.775981
religiousTerror,36.634377,35.931076
religiousTerror,13.150967,11.831098
religiousTerror,88.831102,24.596961
religiousTerror,68.643674,36.100878
religiousTerror,124.424696,7.27843
religiousTerror,-121.452503,37.764563
religiousTerror,13.150967,11.831098
religiousTerror,14.566532,32.466528
religiousTerror,124.23738,7.199553
religiousTerror,69.168609,35.013381
